Data,Frequency
비거,2
기유,2
릴리,2
오뚜기크래프트짜장,2
조지아헤이즐넛향아메리카노,2
진공,2
30,2
CJ햄스빌아침에베이컨,2
트리플,2
나초,2
커버,2
육개,2
탁,2
아삭,2
톰,2
컬,2
취영루물만두,2
참조기,2
콘트라베이스스위트블랙,2
오리온오뜨치즈,2
오뚜기크래프트카레,2
유수,2
원형,2
위,2
11,2
바세린로션리프팅,2
비요뜨쿠키앤크림,2
백두,2
복지,2
플레임,2
부면,2
병아리콩,2
정과,2
복음,2
-3,2
번,2
조지아크래프트스위트블랙,2
샷,2
조지아크래프트콜드브루블랙,2
옥수수차,2
일,2
장어,2
프라임돈까스,2
머스캣,2
레시,2
하마,2
오일,2
해표재래압착식참기름,2
오뚜기짜슐랭,2
라벨,2
남,2
쿠크다스커피,2
형,2
루츠크,2
크래프트저칼로리라떼,2
폴,2
이츠웰재래식된장,2
오피,2
찰밥,2
획,2
써니텐블라스트오렌지,2
팔도 비빔면,2
오트밀,2
국내,2
피클,2
미닛조이오렌지,2
바지락,2
옥,2
페스티벌,2
타주,2
흑갈색,2
고티카콜드브루,2
장덕,2
팥빙수,2
스크류바,2
통조림,2
천일염,2
욕실,2
미룡쌀과자,2
네일,2
가슴,2
오리온오뜨쇼콜라,2
데일리,2
곰팡이,2
콩국수,2
하선정새콤쌈무,2
편,1
안주야먹태열풍스,1
식자재왕고구마치즈등심돈까스,1
식자재왕한입까스,1
청국,1
바리스타룰스디카,1
식자재왕치즈등심돈까스,1
보로,1
크레잇육즙팡팡비,1
파래,1
동원쎈쿡흑미밥19,1
마르셀,1
드봉스위트로즈비,1
날개,1
풀 노엣지코리안BBQ피자,1
식자재왕스위트콘,1
쿡샵참치,1
동 프리미엄돈까스,1
황기,1
피카츄,1
그릴리크럼부어스,1
대림스노우크랩킹오리지널,1
허쉬너겟쿠앤크,1
CJ 이츠웰태양초고추장,1
CJ 이츠웰골드재래식된장,1
진국,1
크레잇바삭김말이,1
굿프랜즈김치손만두,1
